content,score,at
Aku kecewa sma instgram semenjak aku update aplikasi ini sering bug seperti klo mau pke filter tiba tiba kembali sendiri pas bka lagi aplikasinya. ehh filter yg gue susah susah cari ternyata ke hapus semua kesel bangett dan kecewa jgaa knp sih semua aplikasi hrus di update!! Tolong ya di perbaiki aplikasi inn sya kecewa berat!!!,1,2023-10-25 14:29:58
"Sangat mengecewakan, akun instagram saya sudah 3 kali minta verfikasi akun di tangguhkan, setalah akun instagram aktif kembali, masih saja minta di verifikasi, iklan sponsor jadinya tidak jalan jika selalu di tangguhkan, saya kasi masukan tolong di perbaiki minta verfikasi cukup 1x saja, kalau sudah di verifikasi dan sudah bagus, jangan di tangguhkan lagi",1,2023-10-24 10:18:23
Halo saya adalah salah satu pemakai aplikasi instagram ini.. Saya suka dengan aplikasi ini Hanya saja saya merasa kecewa dan sedih Sejak aplikasi ini diupdate banyak sekali kendala Yang terjadi... Seperti akun instagram saya yang Hilang dan tidak bisa terdeteksi lagi... Akun yang baru terdaftar tiba tiba ada kesalahan yang membuat saya kecewa 😞 Banyak sekali bug² dan ketika meng posting foto atau video tidak bisa memakai musik tolong pihak instagram perbaiki lagi instagramnya🙏,2,2023-10-23 23:23:34
"Kecewa,, audio sering hilang, jadi postingan cinematic saya tidak ada suaranya. Andai diganti menggunakan audio lain jadi tidak cocok dengan ritme beat vidio",1,2023-10-23 15:31:57
"Instagram sering ngelag, biasanya kalo keluar dari apps buat buka app lain editing sebelumnya gak kehapus, tapi sekarang kalo buka apps lain pas editing, editingnya kehapus mulai dari 0 lagi, huua sedih:') selain itu cache Instagram juga gak bisa dihapus sepenuhnya! semisal cache ada 800mb yng kehapus cumn 100mb, yng seharusnya total bersih 500mb, jadi 700mb, puyeng juga saya, menuh"" in penyimpanan hp! OH IYA! CACHE APPS GAK CUMAN DI SAYA YA! DI HP NYOKAP SAYA JUGA BEGITU!",3,2023-10-23 04:58:32
"Mau login ulang karna memastikan sandi, malah gabisa masuk sampai sekarang, udah di update, tetep halaman tidak tersedia. Disuruh muat ulang ampe berjam-jam gaada perubahan. Emang lagi trouble apa gimaanaa??",1,2023-10-22 19:20:11
"Untuk aplikasi nya gak nge lag ya,dan untuk video² nya gak ada yang aneh aneh juga,good untuk ig nya, bisa untuk ber interaksi dengan artis dengan mudah lewat DM an,good untuk yabg buat ig nya , semoga bisa lebih kreatif lagi☺️",5,2023-10-22 15:05:26
"Kecewa banget sama ig sekarang posting foto di ig blur banget padahal udah bagus dan cantik fotonya pas di posting story malah blur, mana lodingnya lama banget. Kecewa banget padahal selalu di update ig nya",1,2023-10-22 11:53:25
Buat temen-temen yang pake filter IG masih buram atau blur setelah di update kalian bisa buka di pengaturan kelola aplikasi lalu klik yg aplikasi IG abis itu kalian scroll kebawah disitu ada notifikasi pratinjau aplikasi blur silahkan dinyalakan abis itu kalian coba lagi filter nya pasti sudah tidak blur/buram lagi.. Sudah saya coba sendiri.. Tengkyu semoga membantu yaa 😁😁,3,2023-10-22 11:17:43
"Sekarang jelek bgt update nya, kamera ig kalo pake filter burem parah. Udah coba di uninstall, remove data, dll tetep aja gabisa. Udah lapor juga ke pusat masih aja ga ada perbaikan, jelek",1,2023-10-22 00:04:35
Tolong dong perbaiki lagi fiturnya.Ini setiap hari update tapi kok malah lemot .music nya juga ga tersedia indo nya. Reels banyak yg ga berkualitas.,1,2023-10-21 17:49:16
"Anjir..., Makin Update Makin Buruk Kali Ini Instagram. Simpanan Insta Story Dari Tahun Lalu Tiba - Tiba Hilang Entah Kenapa Gak Bisa Dilihat Lagi. Tolonglah Instagram Segera Perbaiki Kalau Itu Bug Atau Error. Masa Tiba - Tiba Insta Story Tahun Lalu Pada Hilang Dan Gak Bisa Dilihat.",1,2023-10-21 10:45:38
"Sebelum nya saya pakai biasa saja, sampai saya ganti hp dan bikin akun baru. Sekarang sata tidak bisa memposting lagu di catatan ig saya, sudaj saya update dll tapi tetap tidak bisa. Bahkan teman² saha terlihat tidak ada masalah memposting lagu baru di catatan ig mereka, mengapa saya tidak bisa",1,2023-10-20 17:44:01
"Baru liat konten, gak sengaja aplikasi tertutup pas di buka lagi langsung terscroll sendiri update konten terbaru.. jadi konten sebelum nya tenggelam ke bawah mana sudah lupa nama akun nya.",1,2023-10-20 16:40:56
Tolong di perbaiki saat upload video maupun foto karena hasilnya buram tidak memuaskan beda saat sebelum di upload jernih setelah di upload buram dan satu lagi lemoootnya minta ampun jaringan buat mutar YouTube aja lancar,1,2023-10-20 00:14:06
"Tidak bisa menggunakan lagu, upload video di snap susah. kebanyakan ngefresh di layar belakang. Dan yang terpentig ""audio tidak tersedia"" kocak bener",1,2023-10-19 19:37:20
"gmn yh bilang nya, tapi makin di update makin ga jelas, trs ngeleg parah padahal internet sm penyimpanan hp ok ok aja, kalau mau liat igs juga gambar nya item semua padahal jaringan is oke, semoga kedepan nya lebih baik lagi ya🙏🙏",1,2023-10-19 18:01:51
"maaf kali ini rate rendah dlu,soalnya bug nya banyak bgt. Ig knp si down bgt akhir¹ ini. Mau pake filter aja ngeblur semua pas kena muka, trs ftonya gabisa di save, mana music buat igs gabisa dipake lagi, please mohon segera diperbaiki lagi yaa!",2,2023-10-19 17:34:47
"Kepada Instagram yg sering Sy pakai, Bisa tidak Update nya tuh bisa Salin atau copy atau edit komentarnya di Adakan..!! Ga usah filter² yg ga jelas diperbanyak. Sy komen udah serius², taunya ada bagian tulisan yg salah, di copy ga bisa apalagi di edit, ujung²nya di Hapus udah. Update ya APK nya, kalo udah Sy kasih Bintang 5. Sekian Terimagaji .",2,2023-10-19 09:28:13
"Aplikasi nya udh bagus si tapi tolong bug nya di ilangin mau bikin catatan tapi gak ada lagu nya apalagi tulisan nya ""lagu mungkin tidak tersedia di semua negara"" Tolong di perbaiki!!",2,2023-10-18 18:22:17
"ini bagaimana akun utama saya tidka bisa repost story full screen, saya sudah melaporkan masalah ke pihak instagram melalui fitur ""laporkan masalah"" tetapi tidak ada perubahan sama sekali masih sama saja, sudah saya coba hapus data install ulang aplikasi tetapi masih tidak bisa repost full screen, di akun saya yang lain padahal bisa full screen kalau repost story",1,2023-10-18 08:42:47
"Ga bisa di buka, ngebug, memori aplikasi udah di hapus tp kembali lagi, suruh perbarui tapi udah pembaharuan baru masih ngebug ga bisa di buka. Tolong ini gimana ceritanya, kenapa nih",1,2023-10-17 16:56:15
Saya ngamuk kesal kecewa berat.. Jangan ganti update baru terus mulu.. Lama penting bagus tetap gak apa-apa.. Instagram buka klik tidak bisa ganti update baru mulu kecewa berat.. Ganti update susah.. Aku gak senang jelek update instagram.. HP penyimpanan penuh 🤦🏻‍♂️ kesal.. Beri ulasan kasih bintang 1 ⭐,1,2023-10-17 11:31:35
Tolong perbaiki lagi karena sering nge bug ketika sudah keluar aplikasi tapi suara/sound masih jalan di luar aplikasi. Sangat mengganggu,2,2023-10-17 10:15:37
"Instagram kenapa ya makin update makin banyak banget bug yg terjadi. Seperti contoh saat ingin menggunakan filter instagram, filter tersebut blur dengan sendirinya dan tidak ada alasan jelas mengapa filter tersebut blur sendiri. Tolong diperbaiki bugnya , Saya sebagai pengguna Instagram merasa kecewa! . Dan sampai saat ini pun jika saya menggunakan filter masih BLUR. Tolong banget di perbaiki.",1,2023-10-16 22:31:44
"Tolong ini efeknya kok jadi ngeblur di muka, kalo emang gara gara HP nya mendukung tapi hp punyak temen saya bisa. Saya udah coba berbagaii cara dari hapus data smapek ke uninstall apkl tapi tetep aja efeknya gak bisaa. Tolong dong kok gak bisa di pakek lagi efeknya",4,2023-10-16 21:50:29
"Aplikasi lumayan tapi kadang ada yang eror, kadang suka gak jelas kalo apload foto pake musik suka ilang sendiri gak kesimpen Tolong di perbaiki lagi Terimakasih 🙏",4,2023-10-16 18:31:10
"Tolong ada filter nya. Jadi bisa memilih, mau lihat postingan foto, video, reel atau suara saja. Kalau ada filter nya sungguh sangat membantu. Kualitas video unggahan untuk reels jelek. Padahal kualitas video aslinya cukup bening. Postingan foto yang sudah diunggah tidak bisa diedit, ditambahkan musik.",4,2023-10-16 17:32:56
"sangat burukk fitur baru pada saat ingin repost cerita orang tidakk bisa digunakan pada akun saya pdhl sudah diupdate berkali"" dan sudah logout login akun berkali"" sudah membuat laporan tpi sm aja tdk ada gerakan dan perubahan dari pihak instagram aplikasi berkembang tp mslh sepele gini ga bisa teratasi TOLONG PERBAIKI AKUN SAYA",1,2023-10-16 09:08:37
"semakin buruk saja, banyak bug, contohnya layar macet dan berkedip saat video call menggunakan filter, padahal buat lain aman aman aja.",1,2023-10-16 00:23:09
"Banyak banget bug nya ntah itu lagu nya beberapa engga adalah, geser story engga ada animasi lah tiba tiba akun keluar semua lah dan masi banyak lagi jujurly kecewa banget sama instagram yang sekarang semoga kedepannya bisa lebih baik, trims.",1,2023-10-15 22:29:02
"Makin diupdate bukannya makin up malah makin down, harusnya itu semakin bagus ini malah nge bug,dan filternya pada ngedouble efek gitu Tolong lebih diperbaiki lagi teruntuk pihak Instagram",2,2023-10-15 21:57:05
"tolong sangat amat tolong!!!!! kepada pihak instagram, ig ku sekarang gabisa buat catatan, isi musik juga, terus kalo mau buat story gabisa cari lagu lokal Indonesia seperti umumnya tolong perbaikannya segera!!!",5,2023-10-15 13:50:19
"Bug gak bisa liat viewers story, biasanya saya posting story langsung ada jumlah penonton, ini sampai 10 jam tidak ada yang muncul, story sudah saya publik(bukan privat), aneh si",1,2023-10-15 08:18:18
"Belakangan ni ig aneh bgt sumpah. Viewers sg sring ga muncul, ga bisa diliat. Bbrp kali post story, bisa²nya dlm wktu 3 jam stlh post bner² gaada viewers pdhl followersku 694 dan biasanya itu dlm jarak waktu 2 menit aku post sg–sudah slalu ada yg liat. Itu realistis lah krn emg kenyataannya kan stiap detik psti ada yg buka medsos.. Nah ini, 3 jam gaada stupun yg liat? Gak masuk akal woiii. Tauk dah, males bgt dg bug aneh2nya ni",2,2023-10-15 03:05:54
"kok jadi gini sih kamera instagram nya kalau dipakai efek nya jadi buram gini, tolong dong pihak Instagram diperbaiki lagi kualitas nya makin lama makin gawur aja!!! sangat tidak berkelas",1,2023-10-14 23:46:22
"makin gada kualitas ni Instagram, makan memori doang di gedein, fitur makin kesini makin jelek, filternya blur sndiri, coba dong diperbaikin kalo makin jelek makin dikit peminat nya.",1,2023-10-14 23:45:41
"halo , kenapa saat mau save foto untuk update story tidak bisa + loading nya lama. tapi kalau save video cepat, cuman saat diliat hasilnya dia malah seperti lag. tolong di bantu, terimakasih 😁",2,2023-10-14 23:21:33
"Tolong dong pihak developer perbaiki bug setelah photo di ig menggunakan filter / tidak menggunakan filter, foto nyaa ga kesimpan ke Gallery, dan itu menimbulkan perjengkelan. jangan mau enak nya aja dong, bug diperbaiki, diperbagus lagi sistem nya",1,2023-10-14 23:17:56
"Untuk konten yang saya suka selalu muncul dan itu salah satu hal yang saya sukai, namun yang saya tidak sukai kenapa belakangan ini reels saya muncul meme background pemandangan, padahal dulu sering lewat tuh meme luar di reels dan satu lagi ini gk tau bug atau apa, aku post story udh 2 jam dan baru 3 orang yg liat storyku, biasanya 2 jam udh puluhan orang liat",3,2023-10-14 22:05:45
"Parah sih.. masa tiba2 gak bisa di klik instagramnya. Malah eror.. ""malah mengubah ke bahasa indonesia"" tapi lamaaaaa banget. Gak keubah2 malah loading terus. Tolong di perbaiki dong. Kalau emang gak di perbaikin biar aku apus akun aku. Biar gak main2 ig lagi.",1,2023-10-14 18:57:31
Saya memberi bintang nya 2 karna saya kecewa sama efek instagram nya jadi efek ny itu kaya blur gitu saya sudah mendownload 2 kali tapi tetep efek nya kaya gitu-gitu aja gak berubah sama sekali jadi tolong untuk di perbaiki lagi efek nya,2,2023-10-14 16:52:46
"Pas mau buka ig bertuliskan muat ulang,keterangannya sistemnya sedang di perbaharui kaya gt mulu berhari"",giliran di coba di uninstal mau masuk ig masih muat ulang mulu.nyoba download ig lite bisa lgsg masuk tp g bisa pake filter kaya yg ig biasanya..",1,2023-10-14 09:23:57
Maaf kok ini filternya ngeblur semua??akhir² ini pake filter dari Ig malah ngeblur mulu gimana ya?tolong diperbaiki dong jadi gak bisa foto wkwk.Kalau udh dibenerin saya kasih bintang 5 nantinya.Agak kesel karena semua filter yg ada lipstik nya mungkin hampir semua ngeblur,1,2023-10-14 08:45:18
"Ngga jelas bangettt, filter Ig malah pada buram, saya udah coba perbarui, uninstall aplikasi trs instal lagi ttep aja masih kaya gitu. Tolong diperbaiki masalahnya!!!",1,2023-10-14 06:16:18
"Instagram saya tiba2 mati ini,harus muat ulang teruss padahal tadinya aman2 aja... udah di uninstall tetap saja tidak dapat di gunakan apakah memang dari pihak pusat yang mematikan Instagram ya😭😭😭tolong balasan bagi yang sama seperti saya😭",1,2023-10-14 04:58:05
"tolong diperbaiki!!! fitur nya sulit digunakan,filter jadi blurr semua,, sdh ditunggu 2 minggu lebih kirain bakal balik trnyta smpe 3 bneran ga balik jdi gabisa fto pke filter instagram..sudah upgrade 2 kli pun ttep gabisa . segera perbaiki pliss",1,2023-10-14 01:17:00
"Ini gmna sih kok jadi kalo pake filter blur semua..kirain tu karena hp aku nya ..ternyata semuanya gitu yaa ,tolong dong kak gmna solusinya ,semakin di-update semakin jelek siih,maaf yaa ka sebelumnya tapi tolong dong kasih solusinya agar aku bisa balik LG gunain fitur ini LG 😭",1,2023-10-13 19:26:20
"Ada apa dengan Instagram. Filter buram dan tidak bisa digunakan, tolong perbaiki kesemula wahai Instagram.",1,2023-10-12 22:58:18
"kenapa sih gak bisa masuk dan tertulis ""halaman ini tidak tersedia"" mungkin ini kesalahan teknis yang kami perbaiki, coba muat ulang ulasan ini. tapi ko perbaikan lama amat dah seminggu lebih gak bisa masuk, kecewa untung ada instagram lite alhamdulilah bisa. tanks instagram lite",1,2023-10-12 22:45:20
Terlalu banyak bug contohnya saat buka reels akan terjadi freeze yang dimana tampilan antar muka aplikasi tersebut tidak bisa di gerakan tetapi ketika kita masih mendengarkan suara dari aplikasi tersebut,1,2023-10-12 17:11:42
"semakin di update semakin jelek ni instagram, setiap buka story selalu ngelag dan begitu jga setiap post story selalu menghilang(pdhl udh di post), setiap nyari lagu selalu gaada, pdhl sebelum di update lagu ny udh ada, selalu ngelag pas awal masuk ig, setiap mau simpan video trus ditambah fitur musik selalu suara nya gaada, dan setiap liat video story/reels selalu ngelag sama patah², sumpah instagram semakin di update malah semakin jelekk, nyesel gw download ni apk",1,2023-10-12 16:37:46
"Semua Sudah Bagus, Tetapi saya sedikit kecewa karena filter yang yang saya gunakan menjadi blur di muka saya. Padahal saat saya menyimpannya dulu tidak seperti itu, saya harapa pihak instagram bisa menindak lanjuti",3,2023-10-12 14:50:24
"Di update malah makin parah filter gak bisa di pake blur blur gitu jadi kesel ku kira telat update..., ternyata pas di update tetap aja gitu.. Tolong di perbaiki",2,2023-10-12 12:36:57
"Aplikasi banyak bug, entah kenapa semenjak ganti developer ni aplikasi malah makin rusak bajing4n, bug ada di mna², mau login ke akun aja disuruh coba lagi melulu pdhl sandi/nama sdh benar, mau sampai kapan ni aplikasi rusak??? Tolonglah diperbaiki lu Dev baru jangan malah nambah ngerusak aplikasi tolol, kalo ga bisa ngebenerin nya ya gaush pegang Instagram kalo gitu, developer taiiiiii",1,2023-10-12 06:59:05
"Ini lagi knp sih ig ga bisa di buka dari pagi ""halaman tidak tersedia"" di suruh muat ulang tp ttp ga bisa2 & musik nya jga skrg musik luar semua lagi mau cari lagu apa2 tidak di temukan walaupun lagu luar negri jga kan aneh tolong Instagram di perbaiki lagii",1,2023-10-11 19:48:48
"Kecewa banget sama hasil nya setelah aku update malahan fiternya ngeblur dan gak nyatu sama muka. Kirai udah di update tdi nambah bagus eh malah ngecewain udh di update kenapa jdi blur dan jelek. Nggak suka sama ig yg sekarang, tolong di perbaiki 🙏🙏",1,2023-10-11 17:46:17
"Kenapa tidak biasa search lagu di story, liat story ig kalo ada lagi tulisnya not found, udh beralih akun profesional ke akun pribadi biasa tetap tidak bisa, update malah makin ga jls mau liat story aja lama bngt padaha jaringan bagus atau kadang story malah keulang ulang lagi padahal udh di lihat beberapa jam yang lalu",1,2023-10-11 16:04:53
"Musik yg disediakan dan di pakai di postingan sering menghilang , diganti musik lain tetap tidak bisa dan jd bisu , ga seru . kasih opsi ganti musim dong klo musik lama dibisukan.",1,2023-10-11 15:14:18
"Setelah di update filter di Instagram jadi berubah blurr semua saya merasa kecewa sudah beberapa kali coba uninstal dan instal lagi tetep sama,saya harap Instagram segera memperbaiki lagii",2,2023-10-11 11:46:28
"Saya kasih bintang 2 dulu. Karena, ketika saya ingin membuat cerita, tapi kenapa tidak ada buat lagunya. Apakah itu sudah di hapus?? Waktu itu ada, buat cerita masih ada yang buat lagunya, tapi ini sudah gak ada. Tolong di kembalikan",2,2023-10-10 23:16:28
"kamera Instagram kok blur ya, anehnya blurnya wktu pake filter doang. klo ngga pake aman aja, aku kira emg dr hpku yg bermasalah. ternyata cuman kamera ig doang, tolong kejelasannya kalau mmg lagi ada error dr sananya? trmksh apakah tidak ada konfirmasi lebih lanjut?",1,2023-10-10 21:33:13
"Makin aneh makin ga jelas!! Dasar! Kesel bener sy makin lemot loh Instagram tu sekarang,lodingnya lama bener kadang juga pas mau masuk Instagram cuma gambar logo doang sampe lama banget nungguin kadang ngga kebuka sampe ku ulang ulang akhirnya bisa,tapi ya lama banget..jd kalo pas darurat kan jd bingung",1,2023-10-10 19:33:30
Kenapa Instagram saya efek/filter nya tidak bisa di pakek/ ngeblur di semua efek/filter padahal saya sudah pakek Instagram selama 3 tahun lebih dan baru baru ini efek nya ngeblur di bagian muka semua ada apa😌,1,2023-10-10 19:31:22
"Rekomendasi reels nya makin nggak relevan, udah di atur konten2 yg sekiranya ga relevan tapi masih muncul lagi, algoritma reels nya bener2 ngaco, fungsi konten yg tertarik sama ngga tertarik ga ada guna, ujung ujungnya konten yg muncul masih konten yg ngga relevan.",1,2023-10-10 15:05:19
"ini knp sih mau foto buat story tpi filter smua nya kayak ngebug ngeblur gitu semua.semenjak di update malah makin jelek,tolong dong para ig kembaliin seperti semula,syg bnget bkn cma saya yg gitu msi bnyak lagi org'yg gitu,bkn cma filter nya yg rusak tpi ad bbrp jga yg rusak",1,2023-10-10 10:55:06
"makin update makin banyak bug yang terjadi. seperti contoh saat ingin memakai filter instagram, filter tersebut blur dengan sendirinya dan tidak ada alasan jelas mengapa filter tersebut blur sendiri. Tolong diperbaiki bug nya, saya sebagai pengguna Instagram kecewa!",1,2023-10-09 18:50:32
"Assalamualaikum , maaf ni ya kok saat saya buka aplikasi Instagram saat mau ft filter dari yg biasa saya gunakan kok jadi error dan dan nggak bisa di gunain , maaf ya tolong di perbaiki lagi aplikasi nya, trimakasih🙏",1,2023-10-09 18:20:16
"Sebelumnya menggunakan filter di Instagram story tdk ada masalah, sekarang filternya tidak mau menyatu dengan dan blur. Tolong Instagram segera atasi masalah diatas.",2,2023-10-09 16:30:08
"Filter ig nya jadi blur udh seminggu, udh di coba berbagai cara biar bisa balik lagi kaya awal tapi malah ttep aja blur, tolong dong diperbaiki ini gmna si, pdahal udah nyaman foto2 di ig malah jadi kaya gini 😌",1,2023-10-08 21:24:00
"Benar-benar mengecewakan! Music kehilangan filtur (yang tanpa tulisan), tidak ada notifikasi di massage serta musicnya. Sudah di update dan di hapus ulang selama 5x tetap tidak ada perubahan. Sudah di beri akun profesional dan di alihkan di akun pribadi juga tetap tidak bisa. Sudah minta bantuan tapi tidak di spak up. INTINYA AKUN INSTAGRAM YANG SEKARANG SETELAH UPDATE TIDAK ADA PERKEMBANGAN YANG BISA DIBANGAKAN! JELEK DAN JUGA TIDAK BERFUNGSI!!!",1,2023-10-08 20:33:09
"Gak jelas, makin update makin aneh, masa saya ngepost foto 2 slide pake lagu dulu bisa sekarang malah gak bisa alhasil postingan nya jadi garing karena gak ada lagu, masa harus 1 foto dulu baru ada lagunya udah bener kaya dulu bisa ada lagunya, mendingan cepet cepet balikin deh fiturnya!!!",1,2023-10-08 20:10:30
"Kecewa bangat tiba tiba, filter nya buram di muka Sering bug juga , banyak juga fitur-fitur nya yg udh mati Trs klo live suka blur trs ngelag mati Pdahl sinyal bagus, tolong di perbaiki lagi panorama filternya",1,2023-10-08 16:10:52
"kemarin masalah musik, sekarang filternya buram/blur di wajah. sungguh instragram sekarang makin nggk jelas, pada males makai instagram. mau salahin kamera tapi fot biasa atau kamera tiktok jelas tidak blur/buram. SANGAT MENGECEWAKAN SEKALI!",1,2023-10-08 13:10:45
"kenapa untuk akun pertama saya sangat susah memposting cerita? selalu saja tidak bisa dan gagal. berbeda sekali dengan akun kedua saya yang dengan mudah memposting cerita dan postingan tanpa ada masalah sama sekali. tolong solusinya dong udah coba banyak cari dari upgrade, hapus apk unduh ulang, matiin hp tetap saja tidak bisa.",1,2023-10-08 08:52:39
"Hallo instagram saya memiliki kendala dalam fitur filter di kamera instagram saya yang ketika menggunakan filter di instagram hasilnya selalu buram atau ngeblur. Sementara untuk penggunaan kamera instagram tanpa filter tidak terjadi seperti itu. Mohon untuk bantuannya memperbaiki masalah Instagram saya ini, terima kasih🙏",1,2023-10-08 08:02:04
"Ada bug nya,di mana kalau ripos story satu kali ketukan full screen ngga bisa,tapi akun yg lain bisa,tolong di perbaiki yah!.",2,2023-10-08 06:07:43
"kenapa filter Instagram aku kalo mau dipake filtere ga menyatu sama muka malah keliatan serem,tolong di perbaiki lagi dong fiturnya, aku ngalamin ini udah lumayan lama seminggu lebih filter ig nya ga berubah2!!!sebagai pengguna Instagram saya sangat tdk suka dan tdk trima dengan filter Instagram yang sedang bug seperti sekarang ini",1,2023-10-07 08:09:56
"Tampilan temukan orang/saran orang sangat mengganggu saat mode privasi. Tolong di upgrade agar tidak muncul atau ada pengaturan sembunyikan secara permanen tanpa harus klik tiap masuk akun. Juga algoritma ig sialan, semakin tidak menyukai semakin muncul postingan2 menjijikan.",1,2023-10-07 06:14:00
"Instagram makin error ni upload story udah 3harian ga ke upload padahal jaringan lancar. story nya di hapus juga gak bisa masih loading mulu log out pun juga gak bisa, di refresh udah di update udah terus connect ke wifi juga udah",1,2023-10-07 00:29:29
"Bagus banget apk nya, tapi tolong perbaiki lagi yaaa, padahal pengen banget klo kita bikin video ada musiknya, eh pas di simpan dan langsung lihat di galeri gak ada suara nya, jadi tolong banget perbaiki lagi, apk nya sangat sangat memuaskan 😊",5,2023-10-06 22:51:41
"Kecewa kenapa filter ig jadi blur semua, kecuali yang tidak ada gambar""nya tolong di perbaiki sama saya sudah di update kok masih sama tolong sangat di perbaiki.",2,2023-10-06 19:24:47
"semakin hari, semakin di update, semakin loadingnya LAMA BANGET, baik DM, simpanan postingan, buka story sampe ditinggal tidur cok masih loading lama banget kambing, kebanyakan fitur namun juga banyak bug. Musik TIBA-TIBA HILANG. Kamera nya apalagi ya allah tiba-tiba hitam, gajelas. Bagi pengguna HP ram 3, play reels vidio yang HD suka lag lag. Saran saja, tidak usah menambah fitur lagi ini lah itulah. kebelet dibilang sempurna ujung²nya fail. Ingat, yang sempurna hanya Allah SWT.",1,2023-10-06 16:21:32
"Kecewa banget , kenapa foto di Instagram tidak bisa masuk ke galeri secara langsung, walaupun masuk lama sekali beberapa jam kemudian , semua sudah saya coba tetap saja tidak bisa berubah.",2,2023-10-06 16:04:01
"Kamera Instagram saya ketika pakai filter jd blur di bagian muka nya, pdhl klo ga pke filter dan kamera hp bawaan saya itu ga knp², tolong di perbaiki lagi karna dengan aplikasi nya seperti ini saya merasa terganggu.",1,2023-10-06 14:18:55
"Tolong lah ig diperbaiki lagi, filter ke muka malah ngeblur jadi kek buronan😭😭😭kecewa bgt makin kesini ig makin ga beres ada aja masalahnya. Kirain dari bawaan hp tapi ternyata banyak juga ngalamin hal yang sama. Kembarannya ig ada ga si mo uninstall aja:))",1,2023-10-06 11:44:14
"mohon maaf sebelumnya,kenapa waktu udh di update malahan filternya gabisa di pake?jadi blur dan gajelas bgt,saya kira emg hp saya yg eror,trnyta tmen tmen saya juga ngalamin hal yang sama,tlonggg diperbaikiii secepatnyaaa!!!!",2,2023-10-06 10:35:36
"Gimana sih,, abis scroll2 trus keluar audionya masih keputer padahal udah keluar apk. Harus masuk lagi trus keluar apk baru audionya mati.",1,2023-10-06 07:47:37
"developer, kenapa semenjak di update filter yg saya simpan yang awalnya baik² aja kok jadi ancur gituu sih.. padahal filternya bagus tapi semenjak di update jdi serem filternya ga nyatu di wajah, tolong kembalikan Instagram yg dulu",3,2023-10-05 20:49:06
"Instagram tolong untuk diperbaiki lagi,, di first acc saya tidak dapat menggunakan fitur catatan+tidak dapat merepost instastory dengan full, berbeda dengan second acc saya mohon untuk perbaikan nya.",1,2023-10-05 19:28:36
"sumpah kesel banget, kenapa setiap mau up story tpi storynya ga masuk di archive story? ini bug atau gmna ya? tolong dong diperbaikin dulu. suka kesel bgt klo mau buat story ig tpi suka gaada di archive storynya.",1,2023-10-05 16:02:58
"Kecewa karna dikit"" update padahal kemarin dah update , terus ketika ada link masuk kenapa ngak bisa y , lain kali tolong di perbaiki lagi dah , sama itu juga lagunya ngak ada , terus kadang macet mohonnya di perbaiki lagi agar pengguna nyaman🙏",1,2023-10-05 15:21:12
"bug music di postingan sendiri kadang ga bisa di putar, tema mode gelap hilang, makin berat, tolong di perbaiki",1,2023-10-05 12:03:01
"tolong dong kenapaaa filter ig sekarang jadi blurr semuaa , tolong diperbaiki dong udah beberapa hari ini . udah uninstal dowload lagi, hapus data, dll semua udah diupayakan tapi tetap saja tidak bisa masih blurrrrr ihh bikin kesal sjaaa",1,2023-10-05 10:44:47
"Tolong pihak Instagram perbaiki bug nya. Semenjak habis update suka bug, filter ig error gbs nyatu sm wajah jadinya blur. Pdhl kondisi kamera baru bbrp hari abis update ga ap², baru akhir² ini hmpir semingguan ttp error trus. ud berkali² install ulang , hps data, hps chache dll , install di store bawaan ttp aja gitu! jd males make filter ig skrg.",1,2023-10-05 08:36:37
"sebenernya apk nya bagus. tapi habis di update malah muncul bug ""posting..."" padahal saya sedang tidak memposting. mengganggu banget karena saya jadi nggak bisa ganti ke akun saya yang lain. apalagi saya udah kirim komplain tapi tidak ditindak lanjuti sampai sekarang",3,2023-10-04 22:54:32
Maaf sebelumnya tapi ini kenapa ya setiap foto atau bikin vidio dari Instagram kok gak bisa masuk ke galeri dan setiap mau bikin story ig pas mau di kasih lagu kadang lagunya tidak tersedia atau tidak dapat di gunakan Mohon perbaikan nya🙏🏻,1,2023-10-04 20:52:17
"Kurang ramah aplikasi instagram ini selalu ada bug yang ada di fitur-fitur terbaru, gak kayak instagram zaman dulu.. Sekarang saya ingin masuk ke story banyak video yang kurang ramah dan benar benar tidak mendidik, saya ingin masuk tambah ke cerita sendiri ingin foto menambah fitur-fitur yang ada instagram kenapa foto bisa menjadi video padahal cuman foto pengen nambah fitur fitur ig malah jadi video.. Mohon perbaiki",3,2023-10-04 13:10:56
Ini IG lagi error apa gmn sih? Postingan yg pake lagu dari Instagram jd gk muncul lagunya. Trus ada postingan video jg nge freeze GK bs diputar.,4,2023-10-04 07:51:36
"Tiap baca caption panjang pasti loncat.. ke konten lain dibawah.. gak ada tombol ""terbaru"" dalam pencarian.. kalo bisa adakanlah.. konten yang dicari tanggalnya acak-acakan, maunya terkini disuguhin 2-3 thn lalu 😌 scroll kebawah baru nemu postingan terkini, tapi gak sesuai dengan yang dicari, seakan fitur pencarian itu gak ada gunanya",3,2023-10-04 05:49:23
"fitur musik buat story jadi tiba² tidak tersedia, terus ada juga yg dari satu band cuma ada 2 lagu doang,padahal sebelum update aman² aja malah lengkap semua judul ada, kalo ginimah bukan update si, jatohnya ""Downgrade"" , sorry Meta, kalo kerja yg bener dong, jangan fokus akuisisi doang hehehe",1,2023-10-04 00:00:49
